<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVF,20190628,4.6225,4.6995,4.5455,4.5455,7862
EVF,20190701,4.6225,4.6225,4.4685,4.6225,17971
EVF,20190702,4.5455,4.8536,4.5455,4.7766,2756681
EVF,20190703,4.6225,4.9307,4.6225,4.6995,55521
EVF,20190704,4.8536,4.9306,4.7765,4.8536,55726
EVF,20190705,4.7766,4.8536,4.7766,4.7766,17603
EVF,20190708,4.8536,4.8536,4.6225,4.6995,49635
EVF,20190709,4.6995,4.6995,4.6225,4.6995,49320
EVF,20190710,4.6225,4.6995,4.6225,4.6995,34942
EVF,20190711,4.7765,4.7765,4.6225,4.6225,20751
EVF,20190712,4.6225,4.7766,4.6225,4.6995,35126
EVF,20190715,4.6995,4.7765,4.6995,4.6995,26215
EVF,20190716,4.6995,4.6995,4.6225,4.6995,63448
EVF,20190717,4.6995,5.3929,4.6995,5.3929,381365
EVF,20190718,5.7781,5.9322,4.8536,5.3929,99954
EVF,20190719,5.1618,5.4699,5.1618,5.3929,189449
EVF,20190722,5.3929,5.3929,5.2388,5.3159,60314
EVF,20190723,5.2389,5.4700,5.1618,5.3929,100039
EVF,20190724,5.3929,5.7011,5.3929,5.5470,297144
EVF,20190725,5.6240,6.2404,5.6240,6.0092,610702
EVF,20190726,6.0092,6.2403,5.7010,5.7781,259740
EVF,20190729,5.9322,6.2403,5.6240,5.8552,152828
EVF,20190730,5.7011,5.7782,5.3929,5.4700,180011
EVF,20190731,5.2389,5.6241,5.1618,5.3929,98194
EVF,20190801,5.3929,5.6240,5.3159,5.3929,102959
EVF,20190802,5.3929,5.7011,5.3929,5.6240,214580
EVF,20190805,5.5470,5.7010,5.5470,5.6240,144098
EVF,20190806,5.6240,5.6240,5.4699,5.5470,126812
EVF,20190807,5.5470,5.6240,5.3929,5.5470,64118
EVF,20190808,5.3929,5.3929,5.2388,5.3159,130291
EVF,20190809,5.3159,5.4700,5.3159,5.3929,58518
EVF,20190812,5.3159,5.7781,5.3159,5.5470,92980
EVF,20190813,5.4700,5.5470,5.3929,5.4700,90089
EVF,20190814,5.3930,5.5470,5.3930,5.4700,92462
EVF,20190815,5.3930,5.4700,5.2389,5.3929,73082
EVF,20190816,5.3929,6.0863,5.3929,6.0863,861412
EVF,20190819,6.0863,6.7797,6.0863,6.7797,671699
EVF,20190820,7.0879,7.7042,6.6256,7.1649,1380495
EVF,20190821,7.1649,7.2419,6.3174,6.5485,731734
EVF,20190822,6.7026,6.7796,6.3174,6.4715,332264
EVF,20190823,6.3945,7.0878,6.1633,6.7026,498831
EVF,20190826,6.8567,6.8567,6.1633,6.3945,276009
EVF,20190827,6.3945,6.5486,6.0863,6.2404,315436
EVF,20190828,6.1634,6.1634,5.8552,5.9322,366133
EVF,20190829,5.7781,6.0092,5.7011,5.8552,242871
EVF,20190830,6.0093,6.5486,5.8552,6.0863,331791
EVF,20190903,6.1633,6.3174,5.7781,5.8552,280853
EVF,20190904,5.7782,5.8552,5.5470,5.7011,118180
EVF,20190905,5.7011,5.9322,5.5470,5.7781,98538
EVF,20190906,5.7011,5.9322,5.7011,5.7781,126137
EVF,20190909,5.7011,5.8551,5.4699,5.4700,197117
EVF,20190910,5.6241,5.6241,5.1618,5.3159,162315
EVF,20190911,5.2389,5.3929,5.2389,5.3159,68362
EVF,20190912,5.3159,5.4700,5.2389,5.3929,72064
EVF,20190913,5.3929,5.6240,5.2388,5.5470,111015
EVF,20190916,5.6240,5.7011,5.3929,5.4700,87011
EVF,20190917,5.7011,5.7011,5.3930,5.5470,79389
EVF,20190918,5.5470,5.5470,5.3159,5.3929,137260
EVF,20190919,5.3159,5.5470,5.3159,5.4700,47035
EVF,20190920,5.4700,5.5470,5.3929,5.3929,106026
EVF,20190923,5.3929,5.3929,5.3159,5.3929,91869
EVF,20190924,5.3159,5.3929,4.9307,5.1618,255840
EVF,20190925,5.1618,5.2388,5.0077,5.0847,91498
EVF,20190926,5.1617,5.1617,5.0077,5.0077,144150
EVF,20190927,4.9307,4.9307,4.8536,4.9307,135261
EVF,20190930,4.8537,5.0077,4.8537,5.0077,57790
EVF,20191001,5.0077,5.0077,4.8536,4.8536,63445
EVF,20191002,4.9306,4.9307,4.9306,4.9307,0
EVF,20191003,4.9307,4.9307,4.9307,4.9307,0
EVF,20191004,4.9307,4.9307,4.9307,4.9307,0
EVF,20191007,4.9307,5.0077,4.6996,4.8536,158116
EVF,20191008,4.8536,5.0077,4.8536,4.8536,32083
EVF,20191009,4.8536,4.8536,4.7766,4.8536,55580
EVF,20191010,4.6995,4.8536,4.6995,4.7766,31499
EVF,20191011,4.7766,4.8536,4.6996,4.7766,32590
EVF,20191014,4.7766,4.8536,4.5455,4.5455,124412
EVF,20191015,4.6225,4.6996,4.1603,4.5455,216276
EVF,20191016,4.3914,4.5455,4.2373,4.5455,38995
EVF,20191017,4.3914,4.4685,4.3144,4.3914,73090
EVF,20191018,4.4684,4.5455,4.3144,4.4684,36556
EVF,20191021,4.3914,4.4684,4.3914,4.3914,23520
EVF,20191022,4.4684,4.4684,4.2373,4.3143,71620
EVF,20191023,4.2373,4.2373,4.0061,4.0832,139144
EVF,20191024,4.1602,4.4684,4.1602,4.3914,47506
EVF,20191025,4.4684,4.9307,4.3144,4.8536,171607
EVF,20191028,4.7766,5.0847,4.7766,4.9307,246945
EVF,20191029,5.0077,5.0077,4.6225,4.7766,82442
EVF,20191030,4.7766,4.7766,4.6225,4.6995,49450
EVF,20191031,4.6995,4.9306,4.6995,4.7766,95469
EVF,20191101,4.7766,4.8536,4.6995,4.6995,10444
EVF,20191104,4.6995,4.7765,4.6995,4.6995,20476
EVF,20191105,4.6995,4.7765,4.6225,4.6995,88438
EVF,20191106,4.6225,4.6225,4.5454,4.6225,68270
EVF,20191107,4.5455,4.6995,4.5455,4.6225,14395
EVF,20191108,4.6225,4.6995,4.5455,4.5455,72906
EVF,20191111,4.6996,4.6996,4.5455,4.5455,39272
EVF,20191112,4.5455,4.5455,4.4685,4.5455,30777
EVF,20191113,4.5455,4.6225,4.4685,4.6225,40206
EVF,20191114,4.5455,4.5455,4.4684,4.4684,20975
EVF,20191115,4.5454,4.5455,4.4684,4.5455,24862
EVF,20191118,4.6225,4.6225,4.3914,4.4684,31998
EVF,20191119,4.5454,4.5454,4.3914,4.4684,27700
EVF,20191120,4.4684,4.5454,4.4684,4.4684,24731
EVF,20191121,4.4684,4.4684,4.3914,4.3914,26779
EVF,20191122,4.3914,4.4684,4.3143,4.3143,43842
EVF,20191125,4.3143,4.4684,4.2373,4.3914,11096
EVF,20191126,4.3914,4.3914,4.3143,4.3143,24108
EVF,20191127,4.3143,4.3913,4.2373,4.3143,32500
EVF,20191128,4.3143,4.3143,4.1602,4.2373,58426
EVF,20191129,4.2373,4.2373,4.0832,4.2373,74397
EVF,20191202,4.1603,4.2373,4.0832,4.0832,31296
EVF,20191203,4.1602,4.2373,4.0832,4.1602,41027
EVF,20191204,4.1602,4.2373,4.0832,4.2373,39249
EVF,20191205,4.2373,4.4684,4.2373,4.3914,36464
EVF,20191206,4.4684,4.4684,4.3144,4.3914,29634
EVF,20191209,4.3914,4.3914,4.2373,4.2373,51164
EVF,20191210,4.2373,4.3143,4.0832,4.3143,39220
EVF,20191211,4.3143,4.3143,4.1602,4.2373,12402
EVF,20191212,4.1603,4.2373,4.0832,4.1602,30796
EVF,20191213,4.1602,4.3143,4.0832,4.2373,34645
EVF,20191216,4.2373,4.5455,4.1603,4.4684,91162
EVF,20191217,4.4684,4.6225,4.3914,4.3914,70835
EVF,20191218,4.3914,4.4684,4.3143,4.3143,41401
EVF,20191219,4.2373,4.3143,4.2373,4.2373,75943
EVF,20191220,4.3914,4.4684,4.2373,4.4684,33947
EVF,20191223,4.3914,4.3914,4.2373,4.2373,65855
EVF,20191224,4.2373,4.3143,4.2373,4.3143,22287
EVF,20191225,4.3143,4.3914,4.3143,4.3914,23442
EVF,20191226,4.3914,4.3914,4.3143,4.3143,20521
EVF,20191227,4.3143,4.3143,4.2373,4.2373,34067
EVF,20191230,4.3143,4.3143,4.2373,4.2373,19510
EVF,20191231,4.2373,4.3143,4.1602,4.1602,52439
EVF,20200102,4.2372,4.2372,4.0832,4.1602,47164
EVF,20200103,4.2372,4.3143,4.2372,4.3143,40760
EVF,20200106,4.3143,4.3143,4.2373,4.3143,48936
EVF,20200107,4.3143,4.7765,4.3143,4.6995,429204
EVF,20200108,4.6225,4.6995,4.3913,4.6225,132184
EVF,20200109,4.5455,4.7766,4.4684,4.6995,71500
EVF,20200110,4.6995,5.0077,4.6995,4.8536,247702
EVF,20200113,4.6995,4.7766,4.1602,4.6225,141146
EVF,20200114,4.4684,4.7766,4.3914,4.7766,181901
EVF,20200115,4.7766,4.9307,4.7766,4.9307,87200
EVF,20200116,4.8537,5.0077,4.6996,5.0077,218810
EVF,20200117,4.9307,5.0847,4.8536,5.0847,94035
EVF,20200120,5.0077,5.2388,4.9306,5.2388,89400
EVF,20200121,5.1618,5.4699,4.9306,4.9307,259900
EVF,20200122,5.0077,5.2389,4.8537,5.1618,29913
EVF,20200130,5.0077,5.0848,4.9307,5.0077,56900
EVF,20200131,4.9307,5.1618,4.9307,5.1618,140754
EVF,20200203,4.9307,4.9307,4.3143,4.8536,174185
EVF,20200204,4.6225,5.3159,4.6225,5.3159,471825
EVF,20200205,5.3159,6.0093,5.2389,5.4700,707263
EVF,20200206,5.8552,6.0093,5.2389,5.3929,293939
EVF,20200207,5.3159,5.4699,5.2388,5.3159,118965
EVF,20200210,5.3159,6.0863,5.3159,6.0863,495066
EVF,20200211,5.9322,6.2404,5.8552,6.2404,489288
EVF,20200212,6.0093,6.1634,5.9322,6.0863,165306
EVF,20200213,6.0093,6.6256,6.0093,6.5485,553713
EVF,20200214,6.3174,6.5485,6.1633,6.5485,318610
EVF,20200217,6.4715,6.5485,6.1633,6.5485,265092
EVF,20200218,6.7122,7.0396,6.3029,7.0225,407664
EVF,20200219,6.6959,7.1042,6.6958,6.6958,350014
EVF,20200220,6.7775,7.0224,6.6958,6.8591,237009
EVF,20200221,6.7774,6.7774,6.3692,6.5325,75879
EVF,20200224,6.5325,7.0224,5.9609,6.6958,474444
EVF,20200225,6.6141,7.1857,6.6141,7.1041,426017
EVF,20200226,7.0224,7.0224,6.8591,6.9408,408959
EVF,20200227,6.7775,6.7775,6.5325,6.5325,99960
EVF,20200228,6.6142,6.6142,6.2059,6.2875,66876
EVF,20200302,6.1242,6.4508,6.0425,6.1242,67093
EVF,20200303,6.2059,6.3692,6.0425,6.1242,87062
EVF,20200304,6.0425,6.2059,5.9609,6.2059,39308
EVF,20200305,6.1242,6.2059,6.1242,6.2059,66814
EVF,20200306,6.1242,6.2876,5.8793,6.2059,72956
EVF,20200309,6.1242,6.1242,5.6343,5.7976,163305
EVF,20200310,5.3077,5.9609,5.1443,5.7976,203820
EVF,20200311,5.7159,5.9609,5.5526,5.7976,92700
EVF,20200312,5.6343,5.7159,5.4710,5.7159,92275
EVF,20200313,5.4709,5.7976,5.4709,5.7976,83419
EVF,20200316,5.6343,6.0426,5.6343,5.9609,98995
EVF,20200317,5.7976,5.9609,5.7976,5.9609,59010
EVF,20200318,5.8792,6.0426,5.8792,6.0426,57289
EVF,20200319,5.9609,5.9609,5.7160,5.8793,98646
EVF,20200320,5.7160,6.1243,5.7160,6.1242,91919
EVF,20200323,5.9609,5.9609,5.7976,5.8793,37624
EVF,20200324,5.7976,5.8793,5.7159,5.7159,5355
EVF,20200325,5.7976,5.7976,5.7159,5.7976,39435
EVF,20200326,5.6343,5.7159,5.2260,5.7159,23223
EVF,20200327,5.6342,5.6342,5.4709,5.4710,29146
EVF,20200330,5.4710,5.5527,5.3893,5.3893,11978
EVF,20200331,5.3076,5.8792,4.6544,5.4710,55180
EVF,20200401,5.0627,5.3893,5.0627,5.3077,29009
EVF,20200403,5.1444,5.5527,5.1444,5.4710,29140
EVF,20200406,5.2260,5.6343,5.2260,5.6343,17505
EVF,20200407,5.4710,5.4710,5.3893,5.3893,27897
EVF,20200408,5.3076,5.4710,5.3076,5.4710,13375
EVF,20200409,5.3893,5.5527,5.3893,5.3893,42666
EVF,20200410,5.3893,5.4710,5.3893,5.4710,21369
EVF,20200413,5.3893,5.5527,5.3893,5.4710,14500
EVF,20200414,5.3893,5.4710,5.3077,5.3893,15238
EVF,20200415,5.3893,5.4710,5.3076,5.3893,15095
EVF,20200416,5.3893,5.4710,5.3076,5.3893,48697
EVF,20200417,5.3893,5.6343,5.3893,5.4710,63823
EVF,20200420,5.4710,6.1243,5.4710,5.8793,116612
EVF,20200421,5.9610,5.9610,5.5526,5.5526,53900
EVF,20200422,5.7159,5.7976,5.5526,5.7159,39319
EVF,20200423,5.7976,6.2058,5.7976,5.9609,95875
EVF,20200424,5.9609,5.9609,5.7159,5.9609,24759
EVF,20200427,5.9609,5.9609,5.7159,5.8793,29862
EVF,20200428,5.8793,5.8793,5.6343,5.7976,31177
EVF,20200429,5.7159,5.8793,5.7159,5.7159,9895
EVF,20200504,5.7976,5.7976,5.4709,5.7159,62740
EVF,20200505,5.7159,5.7976,5.6342,5.6343,12891
EVF,20200506,5.7160,5.7976,5.6343,5.7159,22499
EVF,20200507,5.7159,5.7976,5.5526,5.7976,69400
EVF,20200508,5.7976,6.0426,5.7976,5.8793,155422
EVF,20200511,6.0426,6.0426,5.8793,6.0426,57788
EVF,20200512,5.9609,6.0426,5.8793,6.0426,76900
EVF,20200513,5.8793,5.9609,5.7976,5.8793,85558
EVF,20200514,5.7976,6.0426,5.7976,5.7976,70247
EVF,20200515,5.7976,5.7976,5.7159,5.7976,54164
EVF,20200518,5.7159,5.7159,5.7159,5.7159,59490
EVF,20200519,5.7159,6.4508,4.8993,6.2059,1015977
EVF,20200520,6.2876,6.6958,6.2876,6.3692,212270
