<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LPB,20180112,9.8580,10.4125,9.4267,9.7348,4824173
LPB,20180115,9.9812,9.9812,9.5499,9.7964,2193796
LPB,20180116,9.6731,9.7348,9.4267,9.4883,2940402
LPB,20180117,9.5499,9.8580,9.3651,9.4267,2504400
LPB,20180118,9.4267,9.7348,9.3035,9.6731,1568960
LPB,20180119,9.4883,9.7964,9.4883,9.6731,1846108
LPB,20180122,9.6731,9.7964,9.5499,9.6115,2724530
LPB,20180123,9.7348,10.4741,9.6731,10.4741,5634151
LPB,20180124,10.3509,11.0286,10.3509,10.7206,2824150
LPB,20180125,10.7822,11.0286,10.5357,10.7206,4467291
LPB,20180126,10.7206,10.9670,10.4741,10.5973,4122527
LPB,20180129,10.7206,11.0902,10.5973,10.8438,3551146
LPB,20180130,10.9054,11.0286,10.5973,10.9054,3804870
LPB,20180131,10.8438,11.0902,10.7206,10.8438,3503008
LPB,20180201,11.1051,11.1051,10.3212,10.4518,1771451
LPB,20180202,10.4518,10.5825,10.1252,10.3212,1503073
LPB,20180205,10.4518,11.4317,9.2107,9.4720,2730927
LPB,20180206,9.2760,9.6680,8.3615,9.0800,5100513
LPB,20180207,9.1454,9.7986,9.0800,9.7333,1809793
LPB,20180208,9.7333,9.7333,9.2760,9.3413,1016920
LPB,20180209,8.8841,9.6026,8.6881,9.5373,2091362
LPB,20180212,9.6026,9.7986,9.5373,9.7986,2186850
LPB,20180213,10.0599,10.2559,9.7986,10.1906,1433291
LPB,20180221,10.1906,10.5172,10.1906,10.2559,1978111
LPB,20180222,10.2559,10.3212,9.9946,10.1252,2080421
LPB,20180223,10.1252,10.3212,10.0599,10.2559,2122192
LPB,20180226,10.2559,10.5825,10.1906,10.1906,3486519
LPB,20180227,10.3865,10.5825,10.1252,10.1906,1419985
LPB,20180228,10.2559,10.2559,9.9946,10.1252,2781413
LPB,20180301,9.9946,10.0599,9.4720,9.7986,3507531
LPB,20180302,9.7986,9.7986,9.5373,9.7333,1836772
LPB,20180305,9.6026,9.9293,9.2760,9.4067,2252919
LPB,20180306,9.6026,9.7333,9.5373,9.7333,1926418
LPB,20180307,9.7333,9.7986,9.4720,9.6680,1852024
LPB,20180308,9.6680,9.6680,9.6026,9.6026,1013065
LPB,20180309,9.7333,10.4518,9.7333,10.2559,5709648
LPB,20180312,10.3212,10.7785,10.3212,10.5172,3481804
LPB,20180313,10.5825,10.5825,10.3212,10.5172,1436019
LPB,20180314,10.5172,10.5825,10.3212,10.4518,2952316
LPB,20180315,10.4518,10.4518,10.1252,10.3865,2257275
LPB,20180316,10.3865,10.5825,10.3212,10.5172,2068497
LPB,20180319,10.5172,10.5172,10.2559,10.3212,2012357
LPB,20180320,10.2559,11.1704,10.1906,10.7131,9984775
LPB,20180321,10.8438,10.9091,10.4518,10.5172,2300636
LPB,20180322,10.5825,10.5825,10.3212,10.3865,1611230
LPB,20180323,10.3212,10.3212,9.9293,10.1252,2768490
LPB,20180326,10.0599,10.3212,9.9946,10.1906,1611390
LPB,20180327,10.1906,10.3212,10.0599,10.1252,1318935
LPB,20180328,10.1252,10.1252,9.7333,9.8639,5081917
LPB,20180329,9.8639,9.9946,9.7986,9.8639,2796943
LPB,20180330,9.9293,9.9946,9.6680,9.7986,1648830
LPB,20180402,9.8639,9.9946,9.7333,9.9293,2472740
LPB,20180403,9.9946,9.9946,9.7986,9.9293,1654676
LPB,20180404,9.9293,10.5825,9.9293,10.3865,10674211
LPB,20180405,10.3865,10.7131,10.2559,10.6478,8620628
LPB,20180406,10.5825,11.5624,10.5825,11.3664,15990731
LPB,20180409,11.3011,11.8237,11.2357,11.7583,9446782
LPB,20180410,11.7583,12.0196,11.3664,11.4317,11106870
LPB,20180411,11.5624,11.7583,11.0398,11.1051,7617559
LPB,20180412,11.1704,11.3011,10.7131,11.0398,5826356
LPB,20180413,11.1051,11.3011,10.8438,10.9744,8318064
LPB,20180416,11.0398,11.1051,10.5825,10.7785,6024204
LPB,20180417,11.1051,11.2357,10.6478,10.9091,2554023
LPB,20180418,10.8438,10.9744,10.6478,10.7131,2002325
LPB,20180419,10.9091,10.9091,10.3212,10.3212,4975935
