<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NVB,20110725,8.6039,8.7063,8.6039,8.7063,21000
NVB,20110726,8.7063,8.7063,8.6039,8.7063,23000
NVB,20110727,8.6039,8.6039,8.5014,8.6039,30700
NVB,20110728,8.6039,8.6039,8.5014,8.6039,37500
NVB,20110729,8.5014,8.6039,8.5014,8.6039,30500
NVB,20110801,8.5014,8.5014,8.3990,8.5014,30000
NVB,20110802,8.3990,8.5014,8.3990,8.5014,33000
NVB,20110803,8.3990,8.3990,8.2966,8.3990,47200
NVB,20110804,8.3990,8.6039,8.3990,8.6039,20600
NVB,20110805,8.8087,8.8087,8.8087,8.8087,2000
NVB,20110808,8.8087,9.1160,8.6039,8.8087,30100
NVB,20110809,8.6039,8.6039,8.5014,8.6039,15600
NVB,20110810,8.3990,8.5014,8.3990,8.5014,32100
NVB,20110811,8.3990,8.5014,8.3990,8.5014,9500
NVB,20110812,8.5014,8.5014,8.3990,8.3990,8800
NVB,20110815,8.5014,8.6039,8.3990,8.6039,6200
NVB,20110816,8.6039,8.9111,8.1942,8.5014,31200
NVB,20110817,8.6039,8.6039,8.5014,8.6039,15000
NVB,20110818,8.7063,8.9111,8.6039,8.8087,15500
NVB,20110819,8.7063,8.7063,8.6039,8.6039,14600
NVB,20110822,8.6039,8.7063,8.6039,8.7063,6100
NVB,20110823,8.7063,8.7063,8.1942,8.1942,160000
NVB,20110824,8.3990,8.6039,8.3990,8.6039,200
NVB,20110825,8.0917,8.9111,8.0917,8.9111,200
NVB,20110826,8.6039,8.6039,8.5014,8.5014,15000
NVB,20110829,8.5014,8.6039,8.5014,8.6039,5200
NVB,20110830,8.7063,8.7063,8.7063,8.7063,2000
NVB,20110831,8.7063,8.8087,8.7063,8.8087,12800
NVB,20110901,8.7063,9.2184,8.7063,9.2184,17700
NVB,20110905,9.7306,9.7306,9.2184,9.2184,12600
NVB,20110906,9.4233,9.9354,9.4233,9.9354,7100
NVB,20110907,9.6281,9.6281,9.5257,9.5257,9300
NVB,20110908,9.7306,9.7306,9.3208,9.3208,2100
NVB,20110909,8.8087,9.4233,8.8087,9.4233,19600
NVB,20110912,9.4233,9.4233,9.2184,9.2184,2100
NVB,20110913,8.7063,9.1160,8.7063,9.0136,26400
NVB,20110914,9.2184,9.2184,9.2184,9.2184,300
NVB,20110915,8.8087,9.0136,8.7063,9.0136,31300
NVB,20110916,9.2184,9.4233,9.2184,9.4233,200
NVB,20110919,9.3208,9.3208,9.3208,9.3208,0
NVB,20110920,8.7063,8.7063,8.7063,8.7063,900
NVB,20110921,8.8087,8.8087,8.6039,8.6039,8700
NVB,20110922,8.1942,9.2184,8.1942,9.2184,3800
NVB,20110923,9.2184,9.2184,8.7063,9.1160,4300
NVB,20110926,9.1160,9.1160,8.7063,9.0136,2200
NVB,20110927,8.7063,8.9111,8.7063,8.9111,2100
NVB,20110928,9.1160,9.1160,8.6039,8.6039,4500
NVB,20110929,8.7063,8.7063,8.7063,8.7063,1900
NVB,20110930,9.1160,9.1160,8.6039,8.6039,8100
NVB,20111003,8.6039,8.6039,8.6039,8.6039,3700
NVB,20111004,8.6039,8.6039,8.5014,8.5014,2200
NVB,20111005,9.1160,9.1160,8.6039,8.6039,1100
NVB,20111006,8.6039,8.6039,8.5014,8.6039,4100
NVB,20111007,8.6039,8.8087,8.2966,8.8087,12400
NVB,20111010,8.5014,8.5014,8.5014,8.5014,2000
NVB,20111011,8.6039,8.6039,8.6039,8.6039,1000
NVB,20111012,8.6039,8.6039,8.1942,8.6039,8000
NVB,20111013,8.5014,8.5014,8.5014,8.5014,1000
NVB,20111014,8.5014,8.5014,8.5014,8.5014,1900
NVB,20111017,8.8087,8.8087,8.5014,8.5014,7300
NVB,20111018,8.5014,8.5014,8.3990,8.3990,2300
NVB,20111019,8.3990,8.5014,8.3990,8.3990,3100
NVB,20111020,8.5014,8.5014,8.2966,8.2966,3300
NVB,20111021,8.9111,8.9111,8.2966,8.3990,2300
NVB,20111024,8.3990,8.9111,8.2966,8.3990,1300
NVB,20111025,8.3990,8.3990,8.3990,8.3990,16000
NVB,20111026,8.3990,8.3990,8.3990,8.3990,26200
NVB,20111027,8.6039,8.6039,8.3990,8.5014,500
NVB,20111028,8.3990,8.3990,8.2966,8.2966,11100
NVB,20111031,8.5014,8.5014,8.2966,8.2966,1600
NVB,20111101,8.3990,8.7063,8.3990,8.7063,700
NVB,20111102,8.3990,8.3990,8.3990,8.3990,600
NVB,20111103,8.1942,8.7063,8.1942,8.3990,400
NVB,20111104,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111107,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111108,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111109,8.3990,8.3990,8.3990,8.3990,1100
NVB,20111110,8.3990,8.3990,8.1942,8.1942,1300
NVB,20111111,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111114,8.3990,8.3990,8.1942,8.2966,7600
NVB,20111115,8.1942,8.6039,8.1942,8.6039,200
NVB,20111116,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111117,8.2966,8.2966,8.2966,8.2966,6300
NVB,20111118,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111121,7.8869,8.9111,7.8869,8.3990,500
NVB,20111122,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111123,8.3990,8.3990,8.3990,8.3990,1000
NVB,20111124,7.8869,7.8869,7.8869,7.8869,1100
NVB,20111125,7.8869,8.3990,7.8869,8.3990,6000
NVB,20111128,8.1942,8.1942,8.1942,8.1942,1000
NVB,20111129,8.7063,8.7063,8.1942,8.1942,300
NVB,20111130,8.3990,8.3990,7.8869,7.8869,2600
NVB,20111201,8.3990,8.3990,7.5796,8.3990,10000
NVB,20111202,8.1942,8.2966,8.0917,8.2966,3600
NVB,20111205,8.6687,8.6687,7.6115,8.6687,2100
NVB,20111206,8.4573,8.4573,8.4573,8.4573,1000
NVB,20111207,8.4573,8.4573,8.4573,8.4573,300
NVB,20111208,8.4573,8.4573,7.9287,8.4573,1000
NVB,20111209,8.3516,8.3516,8.3516,8.3516,500
NVB,20111212,8.4573,8.4573,7.8230,8.4573,800
NVB,20111213,8.4573,8.4573,8.2458,8.2458,700
NVB,20111214,8.4573,8.4573,7.8230,8.4573,27000
NVB,20111215,8.4573,8.6687,7.9287,7.9287,17900
NVB,20111216,8.4573,9.0916,8.4573,8.6687,3400
NVB,20111219,8.6687,8.6687,8.1401,8.6687,2700
NVB,20111220,8.6687,8.6687,8.1401,8.1401,4300
NVB,20111221,8.4573,8.6687,7.9287,8.2458,13200
NVB,20111222,8.4573,8.7744,8.4573,8.5630,1600
NVB,20111223,8.5630,8.5630,8.2458,8.2458,2100
NVB,20111226,8.5630,8.7744,8.0344,8.0344,2200
NVB,20111227,8.4573,8.5630,7.9287,7.9287,4900
NVB,20111228,8.3516,8.5630,7.8230,8.4573,9800
NVB,20111229,8.5630,8.5630,7.9287,8.4573,13500
NVB,20111230,8.5630,8.8801,7.9287,8.2458,5200
NVB,20120103,8.4573,8.6687,8.4573,8.4573,3500
NVB,20120104,8.4573,8.4573,8.3516,8.3516,5000
NVB,20120105,8.4573,8.4573,7.9287,7.9287,3100
NVB,20120106,8.4573,8.4573,7.9287,7.9287,3100
NVB,20120109,8.4573,8.5630,7.9287,8.4573,25600
NVB,20120110,8.4573,8.4573,8.2458,8.2458,3100
NVB,20120111,8.4573,8.4573,8.2458,8.2458,3100
NVB,20120112,8.4573,8.5630,7.9287,8.4573,26200
NVB,20120113,8.4573,8.4573,8.1401,8.1401,3100
NVB,20120116,8.3516,8.4573,8.3516,8.4573,4500
NVB,20120117,8.4573,8.4573,8.1401,8.1401,3000
NVB,20120118,8.3516,8.4573,8.3516,8.4573,2900
NVB,20120119,8.4573,8.4573,8.1401,8.4573,11400
NVB,20120120,8.4573,8.4573,8.4573,8.4573,2800
NVB,20120130,8.4573,8.4573,8.4573,8.4573,2000
NVB,20120131,8.4573,8.4573,8.4573,8.4573,2200
NVB,20120201,8.4573,8.4573,8.3516,8.3516,2500
NVB,20120202,8.4573,8.4573,8.3516,8.3516,2600
NVB,20120203,8.4573,8.4573,8.3516,8.3516,4000
NVB,20120206,8.4573,8.4573,8.4573,8.4573,1900
NVB,20120207,8.4573,8.4573,8.4573,8.4573,2300
NVB,20120208,8.4573,8.4573,8.0344,8.0344,1900
NVB,20120209,8.4573,8.4573,8.0344,8.4573,15900
NVB,20120210,8.4573,8.4573,8.4573,8.4573,1800
NVB,20120213,8.4573,8.4573,8.2458,8.2458,1900
NVB,20120214,8.4573,8.4573,8.4573,8.4573,1700
NVB,20120215,8.4573,8.4573,8.4573,8.4573,1600
NVB,20120216,8.3516,8.4573,8.3516,8.4573,6200
NVB,20120217,8.4573,8.4573,8.3516,8.3516,1900
NVB,20120220,8.4573,8.4573,8.3516,8.3516,2300
NVB,20120221,8.4573,8.4573,7.9287,8.4573,22400
NVB,20120222,8.4573,8.4573,8.2458,8.4573,3800
NVB,20120223,8.4573,8.4573,8.0344,8.3516,13300
NVB,20120224,8.4573,8.4573,7.8230,8.4573,13300
NVB,20120227,8.4573,8.4573,8.3516,8.3516,19700
NVB,20120228,8.4573,8.4573,8.0344,8.0344,31000
NVB,20120229,8.3516,8.4573,8.0344,8.4573,37400
NVB,20120301,8.4573,8.9858,8.3516,8.9858,180200
NVB,20120302,8.9858,9.0916,8.9858,9.0916,227700
NVB,20120305,9.7259,9.7259,9.7259,9.7259,34100
NVB,20120306,10.3602,10.3602,9.9373,10.2544,497000
NVB,20120307,10.3602,10.3602,9.6201,9.9373,168100
NVB,20120308,9.0916,10.0430,9.0916,9.0916,164600
NVB,20120309,8.5630,8.5630,8.4573,8.4573,36400
NVB,20120312,8.4573,8.4573,7.9287,8.3516,85100
NVB,20120313,8.7744,8.7744,8.4573,8.4573,47500
NVB,20120314,9.0916,9.0916,8.3516,8.4573,98000
NVB,20120315,8.6687,8.8801,8.2458,8.5630,38500
NVB,20120316,8.8801,8.8801,8.3516,8.5630,82200
NVB,20120319,8.4573,8.4573,8.1401,8.2458,102000
NVB,20120320,8.4573,8.4573,8.0344,8.4573,201000
NVB,20120321,8.4573,8.5630,8.3516,8.4573,161400
NVB,20120322,8.2458,8.4573,8.2458,8.3516,167700
NVB,20120323,8.4573,8.5630,8.3516,8.5630,174800
NVB,20120326,8.5630,8.6687,8.4573,8.5630,179100
NVB,20120327,8.5630,8.5630,8.2458,8.4573,82700
NVB,20120328,8.3516,8.4573,8.2458,8.4573,32900
NVB,20120329,8.3516,8.4573,8.1401,8.1401,71400
NVB,20120330,8.2458,8.4573,8.1401,8.4573,116400
NVB,20120403,8.4573,8.4573,8.3516,8.4573,49200
NVB,20120404,8.3516,8.3516,8.2458,8.3516,32600
NVB,20120405,8.3516,8.4573,8.2458,8.4573,48600
NVB,20120406,8.2458,8.4573,8.2458,8.4573,44400
NVB,20120409,8.3516,8.4573,8.2458,8.4573,39300
NVB,20120410,8.4573,8.4573,8.2458,8.3516,22200
NVB,20120411,8.2458,8.4573,8.2458,8.4573,20100
NVB,20120412,8.3516,8.4573,8.3516,8.3516,38500
NVB,20120413,8.2458,8.4573,8.1401,8.4573,66700
NVB,20120416,8.2458,8.4573,8.2458,8.4573,16300
NVB,20120417,8.4573,8.4573,8.2458,8.4573,25100
NVB,20120418,8.3516,8.3516,8.2458,8.3516,49700
NVB,20120419,8.2458,8.4573,8.2458,8.4573,36100
NVB,20120420,8.2458,8.4573,8.2458,8.2458,8400
NVB,20120423,8.2458,8.4573,8.1401,8.4573,34900
NVB,20120424,8.2458,8.4573,8.2458,8.4573,24200
NVB,20120425,8.4573,8.4573,8.2458,8.4573,41200
NVB,20120426,8.2458,8.4573,8.2458,8.3516,18800
NVB,20120427,8.3516,8.4573,8.2458,8.4573,76700
NVB,20120502,8.3516,8.4573,8.2458,8.4573,33700
NVB,20120503,8.2458,8.5630,8.2458,8.5630,110700
NVB,20120504,8.4573,8.5630,8.3516,8.4573,50000
NVB,20120507,8.4573,8.4573,8.2458,8.3516,45800
NVB,20120508,8.2458,8.5630,8.2458,8.5630,64000
NVB,20120509,8.5630,8.6687,8.4573,8.6687,31100
NVB,20120510,8.6687,8.6687,8.4573,8.4573,2100
NVB,20120511,8.5630,8.5630,8.3516,8.4573,34800
NVB,20120514,8.3516,8.3516,8.2458,8.3516,82000
NVB,20120515,8.2458,8.4573,8.1401,8.4573,78400
NVB,20120516,8.2458,8.3516,8.2458,8.3516,40300
NVB,20120517,8.3516,8.4573,8.3516,8.4573,7600
NVB,20120518,8.3516,8.4573,8.1401,8.3516,52800
NVB,20120521,8.2458,8.4573,8.2458,8.4573,29900
NVB,20120522,8.5630,8.5630,8.3516,8.4573,32800
NVB,20120523,8.4573,8.4573,8.4573,8.4573,23000
NVB,20120524,8.3516,8.4573,8.2458,8.4573,25300
NVB,20120525,8.2458,8.4573,8.2458,8.4573,4500
NVB,20120528,8.2458,8.4573,8.2458,8.2458,2600
NVB,20120529,8.4573,8.4573,8.4573,8.4573,2000
NVB,20120530,8.2458,8.4573,8.1401,8.4573,33200
NVB,20120531,8.3516,8.4573,8.3516,8.4573,12000
NVB,20120601,8.3516,8.4573,8.3516,8.4573,2000
NVB,20120604,8.4573,8.4573,8.4573,8.4573,2000
NVB,20120605,8.2458,8.4573,8.2458,8.4573,10000
NVB,20120606,8.2458,8.4573,8.2458,8.4573,3500
NVB,20120607,8.3516,8.4573,8.3516,8.4573,3900
NVB,20120608,8.4573,8.4573,8.3516,8.4573,15400
NVB,20120611,8.3516,8.4573,8.3516,8.4573,2100
NVB,20120612,8.4573,8.4573,8.4573,8.4573,2000
NVB,20120613,8.2458,8.4573,8.2458,8.4573,8100
NVB,20120614,8.2458,8.4573,8.2458,8.4573,2100
NVB,20120615,8.3516,8.4573,8.3516,8.4573,2400
NVB,20120618,8.2458,8.3516,8.2458,8.3516,15400
NVB,20120619,8.2458,8.4573,8.2458,8.4573,6600
NVB,20120620,8.4573,8.4573,8.4573,8.4573,2000
NVB,20120621,8.3516,8.4573,8.3516,8.4573,3000
NVB,20120622,8.2458,8.4573,8.2458,8.4573,17000
NVB,20120625,8.2458,8.3516,8.2458,8.3516,23700
NVB,20120626,8.2458,8.4573,8.2458,8.4573,31000
